"Channel","Programmes","Source","Tried"
"LEGEND","34","sky.com (LEGEND)","sky.com=34, freeview.co.uk=33, virgintvgo.virginmedia.com=39, player.ee.co.uk=37"
"LEGEND XTRA","39","sky.com (LEGEND XTRA)","sky.com=39, freeview.co.uk=38, virgintvgo.virginmedia.com=42, player.ee.co.uk=40"
"LFCTV","54","sky.com (LFCTV HD)","sky.com=54, virgintvgo.virginmedia.com=59, tvireland.ie=53"
"MORE 4","55","sky.com (More4 HD)","sky.com=55, freeview.co.uk=54, virgintvgo.virginmedia.com=59, player.ee.co.uk=57"
"MTV","51","sky.com (MTV HD)","sky.com=51, virgintvgo.virginmedia.com=53, player.ee.co.uk=51, tvireland.ie=51"
"MUTV","70","sky.com (MUTV HD)","sky.com=70, virgintvgo.virginmedia.com=75, tvireland.ie=70"
"NAT GEO WILD HD","52","sky.com (NatGeoWild HD)","sky.com=52, virgintvgo.virginmedia.com=46, tvireland.ie=52, entertainment.ie=0"
"NATIONAL GEO HD","56","sky.com (Nat Geo HD)","sky.com=56, tvireland.ie=56, entertainment.ie=0, virgintvgo.virginmedia.com=50"
"NICK JR TOO","244","virgintvgo.virginmedia.com (Nick Jr Too)","virgintvgo.virginmedia.com=244, sky.com=244, tvireland.ie=243"
"NICK JUNIOR","210","sky.com (Nick Jr. HD)","sky.com=210, virgintvgo.virginmedia.com=210, player.ee.co.uk=210, tvireland.ie=210"
"NICKELODEON HD","100","sky.com (Nickelodeon)","sky.com=100, player.ee.co.uk=100, tvireland.ie=100, entertainment.ie=0"
"NICKTOONS","104","virgintvgo.virginmedia.com (Nicktoons)","virgintvgo.virginmedia.com=104, player.ee.co.uk=104, entertainment.ie=0, sky.com=103"
"NOW 70s","30","sky.com (NOW 70s)","sky.com=30, virgintvgo.virginmedia.com=37"
"NOW 80s","32","sky.com (NOW 80s)","sky.com=32, virgintvgo.virginmedia.com=36"
"NOW ROCK","28","sky.com (NOW ROCK)","sky.com=28, virgintvgo.virginmedia.com=31"
"POP","131","freeview.co.uk (POP)","freeview.co.uk=131, virgintvgo.virginmedia.com=0, player.ee.co.uk=135, tvireland.ie=0"
"PREMIER SPORTS","54","virgintvgo.virginmedia.com (Premier Sports 1)","virgintvgo.virginmedia.com=54, entertainment.ie=0, sky.com=42"
"PREMIER SPORTS 2","44","virgintvgo.virginmedia.com (Premier Sports 2)","virgintvgo.virginmedia.com=44, entertainment.ie=0, sky.com=38"
"QUEST HD","51","sky.com (QUEST HD)","sky.com=51, freeview.co.uk=51, virgintvgo.virginmedia.com=0, player.ee.co.uk=52"
"QUEST RED","60","sky.com (Quest Red)","sky.com=60, freeview.co.uk=60, virgintvgo.virginmedia.com=0, player.ee.co.uk=60"
